"name_eng","name_ukr","code","value"
"state","Статус об'єкту",0,"не визначено"
"state","Статус об'єкту",1,"існуючий діючий"
"state","Статус об'єкту",2,"існуючий недіючий"
"state","Статус об'єкту",3,"на реконструкції"
"state","Статус об'єкту",4,"на стадії будівництва (реалізації)"
"state","Статус об'єкту",5,"зруйнований (руїни)"
"state","Статус об'єкту",6,"законсервований"
"state","Статус об'єкту",7,"занедбаний"
"state","Статус об'єкту",8,"проектний"
"state","Статус об'єкту",9,"проектний на короткостроковий період"
"state","Статус об'єкту",10,"проектний на середньостроковий період"
"state","Статус об'єкту",11,"проектний на довгостроковий період"
"state","Статус об'єкту",12,"запроектований раніше"
"state","Статус об'єкту",13,"аварійний"
"change","Проектна зміна стану",0,"не змінюється (зберігається)"
"change","Проектна зміна стану",1,"реконструкція"
"change","Проектна зміна стану",2,"модернізація"
"change","Проектна зміна стану",3,"ліквідація"
"change","Проектна зміна стану",4,"демонтаж"
"change","Проектна зміна стану",5,"знесення"
"change","Проектна зміна стану",6,"закриття"
"change","Проектна зміна стану",7,"створення у короткостроковий період"
"change","Проектна зміна стану",8,"створення у середньостроковий період"
"change","Проектна зміна стану",9,"створення у довгостроковий період"
"status","Статус",0,"не визначено"
"status","Статус",1,"існуюча"
"status","Статус",2,"проектна"
"status","Статус",3,"проектна на короткостроковий період"
"status","Статус",4,"проектна на середньостроковий період"
"status","Статус",5,"проектна на довгостроковий період"
"existence","Наявність",0,"не визначено"
"existence","Наявність",1,"наявний"
"existence","Наявність",2,"відсутній"
"hromada_type","Тип громади",1,"міська"
"hromada_type","Тип громади",2,"селищна"
"hromada_type","Тип громади",3,"сільська"
"settlement_type","Тип населеного пункту",1,"місто"
"settlement_type","Тип населеного пункту",2,"селище міського типу"
"settlement_type","Тип населеного пункту",3,"селище"
"settlement_type","Тип населеного пункту",4,"село"
"settlement_function","Класифікатор населеного пункту за функціями",1,"багатофункціональний"
"settlement_function","Класифікатор населеного пункту за функціями",2,"рекреаційний"
"settlement_function","Класифікатор населеного пункту за функціями",3,"промисловий"
"settlement_function","Класифікатор населеного пункту за функціями",4,"портовий"
"settlement_function","Класифікатор населеного пункту за функціями",5,"портово-промисловий"
"settlement_function","Класифікатор населеного пункту за функціями",6,"агропромисловий"
"settlement_function","Класифікатор населеного пункту за функціями",7,"приміський обслуговуючий"
"settlement_function","Класифікатор населеного пункту за функціями",8,"агропромислово-рекреаційний"
"settlement_function","Класифікатор населеного пункту за функціями",0,"не визначено"
"planning_form_type","Тип планувального утворення в населених пунктах",1,"житловий район"
"planning_form_type","Тип планувального утворення в населених пунктах",2,"житловий квартал"
"planning_form_type","Тип планувального утворення в населених пунктах",3,"мікрорайон"
"planning_form_type","Тип планувального утворення в населених пунктах",4,"планувальний центр"
"planning_form_type","Тип планувального утворення в населених пунктах",5,"планувальний район"
"planning_form_type","Тип планувального утворення в населених пунктах",6,"планувальна зона"
"planning_form_type","Тип планувального утворення в населених пунктах",7,"промислова зона"
"planning_form_type","Тип планувального утворення в населених пунктах",8,"промисловий район"
"transport_corridor_type","Тип транспортного коридору",0,"не визначено"
"transport_corridor_type","Тип транспортного коридору",1,"автомобільний"
"transport_corridor_type","Тип транспортного коридору",2,"залізничний"
"transport_corridor_type","Тип транспортного коридору",3,"водний"
"transport_corridor_type","Тип транспортного коридору",4,"повітряний"
"cor_st","Стан транспортного коридору",0,"не визначено"
"cor_st","Стан транспортного коридору",1,"діючий"
"cor_st","Стан транспортного коридору",2,"підлягає реконструкції"
"cor_st","Стан транспортного коридору",3,"намічений для будівництва"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",0,"не визначено"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",1,"центральна територія доступності"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",2,"периферійна територія доступності першого порядку"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",3,"периферійна територія доступності другого порядку"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",4,"зона обслуговування екстренної (швидкої) медичної допомоги"
"medical_zone_type","Тип території обслуговування закладами охорони здоров'я",5,"госпітальний округ"
"interest_level","Рівень інтересів",0,"не визначено"
"interest_level","Рівень інтересів",1,"державні"
"interest_level","Рівень інтересів",2,"регіональні"
"interest_level","Рівень інтересів",3,"інтереси сусідніх громад"
"region_list","Регіони України",1,"Автономна республіка Крим"
"region_list","Регіони України",2,"Вінницька"
"region_list","Регіони України",3,"Волинська"
"region_list","Регіони України",4,"Дніпропетровська"
"region_list","Регіони України",5,"Донецька"
"region_list","Регіони України",6,"Житомирська"
"region_list","Регіони України",7,"Закарпатська"
"region_list","Регіони України",8,"Запорізька"
"region_list","Регіони України",9,"Івано-Франківська"
"region_list","Регіони України",10,"Київська"
"region_list","Регіони України",11,"Кіровоградська"
"region_list","Регіони України",12,"Луганська"
"region_list","Регіони України",13,"Львівська"
"region_list","Регіони України",14,"Миколаївська"
"region_list","Регіони України",15,"Одеська"
"region_list","Регіони України",16,"Полтавська"
"region_list","Регіони України",17,"Рівненська"
"region_list","Регіони України",18,"Сумська"
"region_list","Регіони України",19,"Тернопільська"
"region_list","Регіони України",20,"Харківська"
"region_list","Регіони України",21,"Херсонська"
"region_list","Регіони України",22,"Хмельницька"
"region_list","Регіони України",23,"Черкаська"
"region_list","Регіони України",24,"Чернівецька"
"region_list","Регіони України",25,"Чернігівська"
"region_list","Регіони України",26,"м. Київ"
"region_list","Регіони України",27,"м. Севастополь"
"street_type","Тип вулиці",0,"не визначено"
"street_type","Тип вулиці",1,"вулиця"
"street_type","Тип вулиці",2,"проспект"
"street_type","Тип вулиці",3,"провулок"
"street_type","Тип вулиці",4,"бульвар"
"street_type","Тип вулиці",5,"площа"
"street_type","Тип вулиці",6,"парк"
"street_type","Тип вулиці",7,"лінія"
"street_type","Тип вулиці",8,"сквер"
"street_type","Тип вулиці",9,"дорога"
"street_type","Тип вулиці",10,"перехрестя"
"street_type","Тип вулиці",11,"набережна"
"street_type","Тип вулиці",12,"в'їзд"
"street_type","Тип вулиці",13,"тракт"
"street_type","Тип вулиці",14,"шосе"
"street_type","Тип вулиці",15,"проїзд"
"street_type","Тип вулиці",16,"шлях"
"street_type","Тип вулиці",17,"алея"
"street_type","Тип вулиці",18,"квартал"
"street_type","Тип вулиці",19,"мікрорайон"
"street_type","Тип вулиці",20,"територія"
"street_type","Тип вулиці",21,"житломасив"
"street_type","Тип вулиці",22,"майдан"
"street_type","Тип вулиці",23,"урочище"
"street_type","Тип вулиці",24,"містечко"
"street_type","Тип вулиці",25,"дільниця"
"street_type","Тип вулиці",26,"підстанція"
"street_type","Тип вулиці",27,"військова частина"
"street_type","Тип вулиці",28,"селище"
"street_type","Тип вулиці",29,"пляж"
"street_type","Тип вулиці",30,"причал"
"street_type","Тип вулиці",31,"садиба"
"street_type","Тип вулиці",32,"роз'їзд"
"street_type","Тип вулиці",33,"заїзд"
"street_type","Тип вулиці",34,"переїзд"
"street_type","Тип вулиці",35,"станція"
"street_type","Тип вулиці",36,"курорт"
"street_type","Тип вулиці",37,"завулок"
"street_type","Тип вулиці",38,"міст"
"street_type","Тип вулиці",39,"сад"
"street_type","Тип вулиці",40,"спуск"
"street_type","Тип вулиці",41,"узвіз"
"street_type","Тип вулиці",42,"тупик"
"direction","Напрям за сторонами світу",0,"не визначено"
"direction","Напрям за сторонами світу",1,"північний"
"direction","Напрям за сторонами світу",2,"північно-східний"
"direction","Напрям за сторонами світу",3,"східний"
"direction","Напрям за сторонами світу",4,"південно-східний"
"direction","Напрям за сторонами світу",5,"південний"
"direction","Напрям за сторонами світу",6,"південно-західний"
"direction","Напрям за сторонами світу",7,"західний"
"direction","Напрям за сторонами світу",8,"північно-західний"
"function_zone","Функціональне призначення території","10100.0","території житлової забудови"
"function_zone","Функціональне призначення території","10101.0","території житлової багатоквартирної забудови"
"function_zone","Функціональне призначення території","10102.0","території житлової садибної забудови"
"function_zone","Функціональне призначення території","10103.0","території дачної забудови"
"function_zone","Функціональне призначення території","10200.0","території громадської забудови"
"function_zone","Функціональне призначення території","10201.0","території адміністративно-офісної забудови"
"function_zone","Функціональне призначення території","10201.1","території адміністративно-управлінських закладів"
"function_zone","Функціональне призначення території","10201.2","території науково-дослідних, проектних та вишукувальних закладів"
"function_zone","Функціональне призначення території","10201.3","території фінансових установ та офісної забудови"
"function_zone","Функціональне призначення території","10202.0","території закладів освіти"
"function_zone","Функціональне призначення території","10203.0","території закладів охорони здоров'я та соціального захисту"
"function_zone","Функціональне призначення території","10204.0","території закладів культури, спорту та дозвілля"
"function_zone","Функціональне призначення території","10204.1","території закладів культури та мистецтва"
"function_zone","Функціональне призначення території","10204.2","території культових закладів"
"function_zone","Функціональне призначення території","10204.3","території спортивних закладів"
"function_zone","Функціональне призначення території","10204.4","території розважальних комплексів та закладів"
"function_zone","Функціональне призначення території","10205.0","території закладів торгівлі, громадського харчування та побутового обслуговування"
"function_zone","Функціональне призначення території","10205.1","території закладів громадського харчування"
"function_zone","Функціональне призначення території","10205.2","території закладів побутового обслуговування"
"function_zone","Функціональне призначення території","10205.3","території закладів торгівлі"
"function_zone","Функціональне призначення території","10206.0","території багатофункціональних центрів"
"function_zone","Функціональне призначення території","20100.0","території промислових підприємств"
"function_zone","Функціональне призначення території","20200.0","території рибогосподарських підприємств"
"function_zone","Функціональне призначення території","20300.0","території лісогосподарських підприємств та лісомисливських господарств"
"function_zone","Функціональне призначення території","20400.0","території інноваційних комплексів"
"function_zone","Функціональне призначення території","20500.0","території інженерно-комунальної забудови"
"function_zone","Функціональне призначення території","20501.0","території об'єктів енергозабезпечення"
"function_zone","Функціональне призначення території","20501.1","території об'єктів електрозабезпечення"
"function_zone","Функціональне призначення території","20501.2","території об'єктів теплопостачання"
"function_zone","Функціональне призначення території","20501.3","території об'єктів газопостачання"
"function_zone","Функціональне призначення території","20502.0","території об'єктів водопостачання та водовідведення"
"function_zone","Функціональне призначення території","20503.0","території об'єктів телекомунікацій"
"function_zone","Функціональне призначення території","20504.0","території складування та утилізації відходів"
"function_zone","Функціональне призначення території","20505.0","території житлово-експлуатаційних організацій"
"function_zone","Функціональне призначення території","20506.0","території кладовищ та крематоріїв"
"function_zone","Функціональне призначення території","20507.0","території захоронення трупів тварин"
"function_zone","Функціональне призначення території","20600.0","території транспортно-складської забудови"
"function_zone","Функціональне призначення території","20601.0","території зовнішнього транспорту"
"function_zone","Функціональне призначення території","20601.1","території автомобільного транспорту"
"function_zone","Функціональне призначення території","20601.2","території залізничного транспорту"
"function_zone","Функціональне призначення території","20601.3","території повітряного транспорту"
"function_zone","Функціональне призначення території","20601.4","території водного транспорту"
"function_zone","Функціональне призначення території","20601.5","території магістральних трубопроводів"
"function_zone","Функціональне призначення території","20602.0","території транспортних підприємств"
"function_zone","Функціональне призначення території","20603.0","території логістичних центрів, складів та баз"
"function_zone","Функціональне призначення території","20604.0","території автостоянок і гаражів"
"function_zone","Функціональне призначення території","20605.0","території закладів з обслуговування автотранспортних засобів"
"function_zone","Функціональне призначення території","20606.0","території вулиць та доріг"
"function_zone","Функціональне призначення території","20700.0","території спецпризначення"
"function_zone","Функціональне призначення території","30100.0","території під ріллею та перелогами"
"function_zone","Функціональне призначення території","30101.0","меліоровані території"
"function_zone","Функціональне призначення території","30102.0","не меліоровані території"
"function_zone","Функціональне призначення території","30200.0","території під багаторічними насадженням"
"function_zone","Функціональне призначення території","30201.0","території під садами"
"function_zone","Функціональне призначення території","30202.0","території під плантаціями"
"function_zone","Функціональне призначення території","30203.0","території під розсадниками"
"function_zone","Функціональне призначення території","30300.0","території для сінокосіння та випасання худоби"
"function_zone","Функціональне призначення території","30301.0","території для сінокосіння"
"function_zone","Функціональне призначення території","30302.0","території для випасання худоби"
"function_zone","Функціональне призначення території","30400.0","території для розміщення сільськогосподарських будівель і дворів"
"function_zone","Функціональне призначення території","30500.0","території під полезахисними лісовими смугами"
"function_zone","Функціональне призначення території","40100.0","рекреаційно-туристичні території"
"function_zone","Функціональне призначення території","40101.0","території санаторно-курортних та оздоровчих закладів"
"function_zone","Функціональне призначення території","40102.0","території рекреаційно-туристичних закладів та рекреаційного житла"
"function_zone","Функціональне призначення території","40103.0","території природних ландшафтів, призначені для рекреаційних цілей"
"function_zone","Функціональне призначення території","40104.0","території пляжів"
"function_zone","Функціональне призначення території","40200.0","території лісів"
"function_zone","Функціональне призначення території","40201.0","захисні ліси"
"function_zone","Функціональне призначення території","40202.0","рекреаційно-оздоровчі ліси"
"function_zone","Функціональне призначення території","40203.0","ліси природоохоронного, наукового, історико-культурного призначення"
"function_zone","Функціональне призначення території","40204.0","експлуатаційні ліси"
"function_zone","Функціональне призначення території","40300.0","озеленені території"
"function_zone","Функціональне призначення території","40301.0","зелені насадження загального користування"
"function_zone","Функціональне призначення території","40302.0","зелені насадження спеціального призначення"
"function_zone","Функціональне призначення території","40400.0","водні поверхні/об'єкти"
"function_zone","Функціональне призначення території","40500.0","території природно-заповідного фонду, вилучені з господарського використання"
"function_zone","Функціональне призначення території","40600.0","території природних ландшафтів, призначені для проведення науково-дослідних робіт"
"function_zone_code","Код функціонального призначення території","10100.0","10100.0"
"function_zone_code","Код функціонального призначення території","10101.0","10101.0"
"function_zone_code","Код функціонального призначення території","10102.0","10102.0"
"function_zone_code","Код функціонального призначення території","10103.0","10103.0"
"function_zone_code","Код функціонального призначення території","10200.0","10200.0"
"function_zone_code","Код функціонального призначення території","10201.0","10201.0"
"function_zone_code","Код функціонального призначення території","10201.1","10201.1"
"function_zone_code","Код функціонального призначення території","10201.2","10201.2"
"function_zone_code","Код функціонального призначення території","10201.3","10201.3"
"function_zone_code","Код функціонального призначення території","10202.0","10202.0"
"function_zone_code","Код функціонального призначення території","10203.0","10203.0"
"function_zone_code","Код функціонального призначення території","10204.0","10204.0"
"function_zone_code","Код функціонального призначення території","10204.1","10204.1"
"function_zone_code","Код функціонального призначення території","10204.2","10204.2"
"function_zone_code","Код функціонального призначення території","10204.3","10204.3"
"function_zone_code","Код функціонального призначення території","10204.4","10204.4"
"function_zone_code","Код функціонального призначення території","10205.0","10205.0"
"function_zone_code","Код функціонального призначення території","10205.1","10205.1"
"function_zone_code","Код функціонального призначення території","10205.2","10205.2"
"function_zone_code","Код функціонального призначення території","10205.3","10205.3"
"function_zone_code","Код функціонального призначення території","10206.0","10206.0"
"function_zone_code","Код функціонального призначення території","20100.0","20100.0"
"function_zone_code","Код функціонального призначення території","20200.0","20200.0"
"function_zone_code","Код функціонального призначення території","20300.0","20300.0"
"function_zone_code","Код функціонального призначення території","20400.0","20400.0"
"function_zone_code","Код функціонального призначення території","20500.0","20500.0"
"function_zone_code","Код функціонального призначення території","20501.0","20501.0"
"function_zone_code","Код функціонального призначення території","20501.1","20501.1"
"function_zone_code","Код функціонального призначення території","20501.2","20501.2"
"function_zone_code","Код функціонального призначення території","20501.3","20501.3"
"function_zone_code","Код функціонального призначення території","20502.0","20502.0"
"function_zone_code","Код функціонального призначення території","20503.0","20503.0"
"function_zone_code","Код функціонального призначення території","20504.0","20504.0"
"function_zone_code","Код функціонального призначення території","20505.0","20505.0"
"function_zone_code","Код функціонального призначення території","20506.0","20506.0"
"function_zone_code","Код функціонального призначення території","20507.0","20507.0"
"function_zone_code","Код функціонального призначення території","20600.0","20600.0"
"function_zone_code","Код функціонального призначення території","20601.0","20601.0"
"function_zone_code","Код функціонального призначення території","20601.1","20601.1"
"function_zone_code","Код функціонального призначення території","20601.2","20601.2"
"function_zone_code","Код функціонального призначення території","20601.3","20601.3"
"function_zone_code","Код функціонального призначення території","20601.4","20601.4"
"function_zone_code","Код функціонального призначення території","20601.5","20601.5"
"function_zone_code","Код функціонального призначення території","20602.0","20602.0"
"function_zone_code","Код функціонального призначення території","20603.0","20603.0"
"function_zone_code","Код функціонального призначення території","20604.0","20604.0"
"function_zone_code","Код функціонального призначення території","20605.0","20605.0"
"function_zone_code","Код функціонального призначення території","20606.0","20606.0"
"function_zone_code","Код функціонального призначення території","20700.0","20700.0"
"function_zone_code","Код функціонального призначення території","30100.0","30100.0"
"function_zone_code","Код функціонального призначення території","30101.0","30101.0"
"function_zone_code","Код функціонального призначення території","30102.0","30102.0"
"function_zone_code","Код функціонального призначення території","30200.0","30200.0"
"function_zone_code","Код функціонального призначення території","30201.0","30201.0"
"function_zone_code","Код функціонального призначення території","30202.0","30202.0"
"function_zone_code","Код функціонального призначення території","30203.0","30203.0"
"function_zone_code","Код функціонального призначення території","30300.0","30300.0"
"function_zone_code","Код функціонального призначення території","30301.0","30301.0"
"function_zone_code","Код функціонального призначення території","30302.0","30302.0"
"function_zone_code","Код функціонального призначення території","30400.0","30400.0"
"function_zone_code","Код функціонального призначення території","30500.0","30500.0"
"function_zone_code","Код функціонального призначення території","40100.0","40100.0"
"function_zone_code","Код функціонального призначення території","40101.0","40101.0"
"function_zone_code","Код функціонального призначення території","40102.0","40102.0"
"function_zone_code","Код функціонального призначення території","40103.0","40103.0"
"function_zone_code","Код функціонального призначення території","40104.0","40104.0"
"function_zone_code","Код функціонального призначення території","40200.0","40200.0"
"function_zone_code","Код функціонального призначення території","40201.0","40201.0"
"function_zone_code","Код функціонального призначення території","40202.0","40202.0"
"function_zone_code","Код функціонального призначення території","40203.0","40203.0"
"function_zone_code","Код функціонального призначення території","40204.0","40204.0"
"function_zone_code","Код функціонального призначення території","40300.0","40300.0"
"function_zone_code","Код функціонального призначення території","40301.0","40301.0"
"function_zone_code","Код функціонального призначення території","40302.0","40302.0"
"function_zone_code","Код функціонального призначення території","40400.0","40400.0"
"function_zone_code","Код функціонального призначення території","40500.0","40500.0"
"function_zone_code","Код функціонального призначення території","40600.0","40600.0"
"function_pr","Проектний статус функціональної зони",0,"Без зміни функціонального використання"
"function_pr","Проектний статус функціональної зони",1,"Зі зміною функціонального використання"
"function_pr_code","Кодова позначка проектного статусу функціональної зони",0,0
"function_pr_code","Кодова позначка проектного статусу функціональної зони",1,1
"land_category","Категорія земель",100,"Землі сільськогосподарського призначення"
"land_category","Категорія земель",200,"Землі житлової та громадської забудови"
"land_category","Категорія земель",300,"Землі природно-заповідного та іншого природоохоронного призначення"
"land_category","Категорія земель",400,"Землі оздоровчого призначення"
"land_category","Категорія земель",500,"Землі рекреаційного призначення"
"land_category","Категорія земель",600,"Землі історико-культурного призначення"
"land_category","Категорія земель",700,"Землі лісогосподарського призначення"
"land_category","Категорія земель",800,"Землі водного фонду"
"land_category","Категорія земель",900,"Землі промисловості, транспорту, зв'язку, енергетики, оборони та іншого призначення"
"land_purpose_code","Код цільового призначення земель","01.01","01.01"
"land_purpose_code","Код цільового призначення земель","01.02","01.02"
"land_purpose_code","Код цільового призначення земель","01.03","01.03"
"land_purpose_code","Код цільового призначення земель","01.04","01.04"
"land_purpose_code","Код цільового призначення земель","01.05","01.05"
"land_purpose_code","Код цільового призначення земель","01.06","01.06"
"land_purpose_code","Код цільового призначення земель","01.07","01.07"
"land_purpose_code","Код цільового призначення земель","01.08","01.08"
"land_purpose_code","Код цільового призначення земель","01.09","01.09"
"land_purpose_code","Код цільового призначення земель","01.10","01.10"
"land_purpose_code","Код цільового призначення земель","01.11","01.11"
"land_purpose_code","Код цільового призначення земель","01.12","01.12"
"land_purpose_code","Код цільового призначення земель","01.13","01.13"
"land_purpose_code","Код цільового призначення земель","01.14","01.14"
"land_purpose_code","Код цільового призначення земель","01.15","01.15"
"land_purpose_code","Код цільового призначення земель","01.16","01.16"
"land_purpose_code","Код цільового призначення земель","01.17","01.17"
"land_purpose_code","Код цільового призначення земель","01.18","01.18"
"land_purpose_code","Код цільового призначення земель","01.19","01.19"
"land_purpose_code","Код цільового призначення земель","02.01","02.01"
"land_purpose_code","Код цільового призначення земель","02.02","02.02"
"land_purpose_code","Код цільового призначення земель","02.03","02.03"
"land_purpose_code","Код цільового призначення земель","02.04","02.04"
"land_purpose_code","Код цільового призначення земель","02.05","02.05"
"land_purpose_code","Код цільового призначення земель","02.06","02.06"
"land_purpose_code","Код цільового призначення земель","02.07","02.07"
"land_purpose_code","Код цільового призначення земель","02.08","02.08"
"land_purpose_code","Код цільового призначення земель","02.09","02.09"
"land_purpose_code","Код цільового призначення земель","02.10","02.10"
"land_purpose_code","Код цільового призначення земель","02.11","02.11"
"land_purpose_code","Код цільового призначення земель","02.12","02.12"
"land_purpose_code","Код цільового призначення земель","03.01","03.01"
"land_purpose_code","Код цільового призначення земель","03.02","03.02"
"land_purpose_code","Код цільового призначення земель","03.03","03.03"
"land_purpose_code","Код цільового призначення земель","03.04","03.04"
"land_purpose_code","Код цільового призначення земель","03.05","03.05"
"land_purpose_code","Код цільового призначення земель","03.06","03.06"
"land_purpose_code","Код цільового призначення земель","03.07","03.07"
"land_purpose_code","Код цільового призначення земель","03.08","03.08"
"land_purpose_code","Код цільового призначення земель","03.09","03.09"
"land_purpose_code","Код цільового призначення земель","03.10","03.10"
"land_purpose_code","Код цільового призначення земель","03.11","03.11"
"land_purpose_code","Код цільового призначення земель","03.12","03.12"
"land_purpose_code","Код цільового призначення земель","03.13","03.13"
"land_purpose_code","Код цільового призначення земель","03.14","03.14"
"land_purpose_code","Код цільового призначення земель","03.15","03.15"
"land_purpose_code","Код цільового призначення земель","03.16","03.16"
"land_purpose_code","Код цільового призначення земель","03.17","03.17"
"land_purpose_code","Код цільового призначення земель","03.18","03.18"
"land_purpose_code","Код цільового призначення земель","03.19","03.19"
"land_purpose_code","Код цільового призначення земель","03.20","03.20"
"land_purpose_code","Код цільового призначення земель","04.01","04.01"
"land_purpose_code","Код цільового призначення земель","04.02","04.02"
"land_purpose_code","Код цільового призначення земель","04.03","04.03"
"land_purpose_code","Код цільового призначення земель","04.04","04.04"
"land_purpose_code","Код цільового призначення земель","04.05","04.05"
"land_purpose_code","Код цільового призначення земель","04.06","04.06"
"land_purpose_code","Код цільового призначення земель","04.07","04.07"
"land_purpose_code","Код цільового призначення земель","04.08","04.08"
"land_purpose_code","Код цільового призначення земель","04.09","04.09"
"land_purpose_code","Код цільового призначення земель","04.10","04.10"
"land_purpose_code","Код цільового призначення земель","04.11","04.11"
"land_purpose_code","Код цільового призначення земель","05.01","05.01"
"land_purpose_code","Код цільового призначення земель","05.02","05.02"
"land_purpose_code","Код цільового призначення земель","06.01","06.01"
"land_purpose_code","Код цільового призначення земель","06.02","06.02"
"land_purpose_code","Код цільового призначення земель","06.03","06.03"
"land_purpose_code","Код цільового призначення земель","06.04","06.04"
"land_purpose_code","Код цільового призначення земель","06.05","06.05"
"land_purpose_code","Код цільового призначення земель","07.01","07.01"
